RowId,Gender,Age_Gap,Graduation_Status,Current_occupation,Spouse_Occupation_Field,Spouse_Graduation_Status,Occupation_Status,Spouse_Occupation_Status,Social_Status_preference,Marriage_Preference,Financial_Independence,Spouse_Financial_Independence,Mental_Health_Status,Spouse_Mental_Health_Preference,Consent_for_Children,Height_Difference( In Inches),Approx_Income (In Lakhs),Spouse_Income_Preference( In Lakhs),Relation_with_InLaws,Pre_Marital_Relation_Status,Spouse_Pre_Marital_Relation_Status,Time_Together_Before_Marriage,Output
1,Female,5,Yes,Engineer,Engineer,Yes,No,Yes,1,1,Yes,Yes,6,6,Yes,6,1,2,6,Yes,Yes,0 - 1,Success
2,Female,-1,Yes,Engineer,Engineer,Yes,Yes,Yes,3,6,Yes,Yes,5,5,Yes,5,8,8,4,Yes,Yes,6 - 10,Success
3,Female,-2,Yes,Engineer,Business Owner,Yes,Yes,Yes,6,4,Yes,Yes,5,4,Yes,3,12,9,3,No,Yes,2 - 4,Success
4,Male,2,Yes,Engineer,Engineer,Yes,No,Yes,6,3,No,Yes,5,4,Yes,3,0,99,5,No,No,0 - 1,Success
5,Male,0,Yes,Engineer,Teacher/Professor/Lecturer,Yes,No,Yes,6,4,No,Yes,2,5,Yes,5,5,5,5,No,No,2 - 4,Success
6,Male,2,No,Engineer,Doctor,Yes,No,Yes,6,6,No,Yes,6,5,Yes,5,5,10,6,No,Yes,2 - 4,Success
7,Male,0,No,Engineer,Engineer,Yes,No,Yes,3,4,No,Yes,5,4,Yes,5,0,10,5,Yes,Yes,0 - 1,Success
8,Female,+2 ,No,Other,Doctor,Yes,No,Yes,5,3,No,Yes,5,5,Yes,+3,0,24,5,No,No,0 - 1,Success
9,Male,+5,Yes,Engineer,Engineer,Yes,No,Yes,3,6,No,Yes,4,6,Yes,1,0,12,6,No,Yes,2 - 4,Success
10,Male,3,Yes,Other,Other,Yes,Yes,Yes,4,5,Yes,Yes,6,6,Yes,4,20,15,4,Yes,No,0 - 1,Success
11,Male,-5,Yes,Other,Doctor,No,No,Yes,1,6,No,Yes,1,1,Yes,10,0,5,6,No,Yes,2 - 4,Success
12,Female,3,No,Engineer,Other,Yes,No,Yes,3,6,No,Yes,6,3,Yes,2,0,2,6,Yes,Yes,2 - 4,Success
13,Male,-1,Yes,Engineer,Other,Yes,No,Yes,3,4,No,No,5,4,Yes,5,10,3,6,No,Yes,6 - 10,Success
14,Male,-1,No,Other,Business Owner,Yes,Yes,Yes,2,6,Yes,Yes,3,3,Yes,2,5,7,2,Yes,Yes,6 - 10,Success
15,Male,4,Yes,Other,Other,Yes,No,Yes,6,6,No,No,4,6,Yes,10,50,1,6,No,No,0 - 1,Success
16,Female,0,Yes,Engineer,Engineer,Yes,No,Yes,5,6,Yes,Yes,4,5,Yes,2,30,30,6,Yes,Yes,2 - 4,Success
17,Female,1,Yes,Engineer,I don't want my spouse to work,Yes,No,Yes,6,2,No,Yes,4,5,Yes,4,0,10,6,No,No,10+,Success
18,Male,2,No,Engineer,Engineer,Yes,No,Yes,5,5,No,Yes,1,4,Yes,6,69,69,4,No,No,2 - 4,Success
19,Male,2,Yes,Engineer,Doctor,Yes,Yes,Yes,3,3,Yes,Yes,5,3,Yes,5,8,6,4,No,No,10+,Success
20,Female,-3,No,Engineer,Actor,No,Yes,Yes,3,3,Yes,Yes,6,6,Yes,5,22,42,4,Yes,Yes,0 - 1,Success
21,Female,1,Yes,Other,Other,Yes,Yes,Yes,6,1,Yes,Yes,5,6,Yes,10,1,2,2,No,No,2 - 4,Success
22,Female,-1,Yes,Engineer,Doctor,Yes,No,Yes,6,5,No,Yes,4,3,Yes,3,0,1,4,No,No,0 - 1,Success
23,Male,1,No,Engineer,Advocate/Lawyer,Yes,No,Yes,6,6,No,Yes,6,6,Yes,6,0,24,4,Yes,Yes,2 - 4,Success
24,Female,-1,No,Engineer,Engineer,Yes,No,Yes,5,5,No,Yes,4,4,Yes,6,49,49,5,No,No,6 - 10,Success
25,Female,1,Yes,Engineer,Teacher/Professor/Lecturer,Yes,Yes,Yes,6,6,No,Yes,3,5,No,7,36,20,2,Yes,Yes,2 - 4,Success
26,Male,5,Yes,Engineer,I don't want my spouse to work,Yes,Yes,No,6,3,Yes,No,6,4,No,10,5,4,3,No,No,0 - 1,Success
27,Female,2,Yes,Engineer,Engineer,Yes,Yes,Yes,4,3,Yes,Yes,4,3,Yes,6,7,10,3,No,No,0 - 1,Success
28,Female,3,No,Business Owner,Business Owner,Yes,No,Yes,4,6,No,Yes,4,4,Yes,10,70,80,5,No,No,2 - 4,Success
29,Female,2,No,Engineer,Other,Yes,No,Yes,6,3,No,Yes,2,6,Yes,3,0,30,5,No,No,2 - 4,Success
30,Female,-3,No,Engineer,Engineer,Yes,No,Yes,4,3,No,Yes,4,4,Yes,3,1,1,4,No,No,0 - 1,Success
31,Male,-1,No,Other,Other,Yes,No,Yes,6,6,No,Yes,1,6,Yes,5,0,5,1,No,No,2 - 4,Success
32,Female,4,No,Engineer,Business Owner,Yes,Yes,Yes,4,1,No,No,4,4,Yes,2,30,100,4,No,No,10+,Success
33,Male,2,No,Engineer,Engineer,Yes,No,Yes,3,3,No,Yes,3,5,Yes,5,50,20,5,No,Yes,2 - 4,Success
34,Male,-1,Yes,Engineer,Engineer,Yes,No,Yes,1,6,No,Yes,6,6,Yes,6,12,18,5,No,No,6 - 10,Success
35,Female,0,No,Engineer,Other,Yes,No,Yes,1,5,No,Yes,1,6,Yes,3,0,30,4,No,No,2 - 4,Success
36,Male,3,No,Engineer,Engineer,Yes,Yes,Yes,6,5,Yes,Yes,6,4,Yes,8,20,20,4,Yes,Yes,2 - 4,Success
37,Male,3,No,Engineer,Business Owner,Yes,No,Yes,3,3,No,Yes,3,2,Yes,10,0,1,2,No,No,0 - 1,Success
38,Female,2,Yes,Other,Engineer,Yes,Yes,Yes,6,6,Yes,Yes,4,6,Yes,9,7,10,6,No,Yes,6 - 10,Success
39,Female,-2,Yes,Engineer,Business Owner,Yes,Yes,Yes,4,4,No,Yes,4,6,Yes,8,0,24,6,No,Yes,2 - 4,Success
40,Female,2,Yes,Engineer,Business Owner,Yes,Yes,Yes,3,5,Yes,Yes,5,3,Yes,10,20,20,6,No,Yes,2 - 4,Success
41,Male,3,No,Engineer,Actor,Yes,Yes,Yes,4,4,Yes,Yes,6,6,Yes,6,20,20,5,No,No,2 - 4,Success
42,Male,2,Yes,Engineer,Engineer,Yes,No,Yes,3,3,Yes,Yes,6,4,Yes,1,8,8,5,No,No,2 - 4,Success
