Gender,Age_Gap,Graduation_Status,Current_occupation,Spouse_Occupation_Field,Spouse_Graduation_Status,Occupation_Status,Spouse_Occupation_Status,Social_Status_preference,Marriage_Preference,Financial_Independence,Spouse_Financial_Independence,Mental_Health_Status,Spouse_Mental_Health_Preference,Consent_for_Children,Height_Difference( In Inches),Approx_Income (In Lakhs),Spouse_Income_Preference( In Lakhs),Relation_with_InLaws,Pre_Marital_Relation_Status,Spouse_Pre_Marital_Relation_Status,Time_Together_Before_Marriage,Output
0,5,1,4,4,1,0,1,1,1,1,1,6,6,1,6.0,1.0,2.0,6,1,1,0,1
0,-1,1,4,4,1,1,1,3,6,1,1,5,5,1,5.0,8.0,8.0,4,1,1,4,1
0,-2,1,4,2,1,1,1,6,4,1,1,5,4,1,3.0,12.0,9.0,3,0,1,3,1
1,2,1,4,4,1,0,1,6,3,0,1,5,4,1,3.0,0.0,99.0,5,0,0,0,1
1,0,1,4,9,1,0,1,6,4,0,1,2,5,1,5.0,5.0,5.0,5,0,0,3,1
1,2,0,4,3,1,0,1,6,6,0,1,6,5,1,5.0,5.0,10.0,6,0,1,3,1
1,0,0,4,4,1,0,1,3,4,0,1,5,4,1,5.0,0.0,10.0,5,1,1,0,1
0,2,0,5,3,1,0,1,5,3,0,1,5,5,1,3.0,0.0,24.0,5,0,0,0,1
1,5,1,4,4,1,0,1,3,6,0,1,4,6,1,1.0,0.0,12.0,6,0,1,3,1
1,3,1,5,7,1,1,1,4,5,1,1,6,6,1,4.0,20.0,15.0,4,1,0,0,1
1,-5,1,5,3,0,0,1,1,6,0,1,1,1,1,10.0,0.0,5.0,6,0,1,3,1
0,3,0,4,7,1,0,1,3,6,0,1,6,3,1,2.0,0.0,2.0,6,1,1,3,1
1,-1,1,4,7,1,0,1,3,4,0,0,5,4,1,5.0,10.0,3.0,6,0,1,4,1
1,-1,0,5,2,1,1,1,2,6,1,1,3,3,1,2.0,5.0,7.0,2,1,1,4,1
1,4,1,5,7,1,0,1,6,6,0,0,4,6,1,10.0,50.0,1.0,6,0,0,0,1
0,0,1,4,4,1,0,1,5,6,1,1,4,5,1,2.0,30.0,30.0,6,1,1,3,1
0,1,1,4,5,1,0,1,6,2,0,1,4,5,1,4.0,0.0,10.0,6,0,0,2,1
1,2,0,4,4,1,0,1,5,5,0,1,1,4,1,6.0,69.0,69.0,4,0,0,3,1
1,2,1,4,3,1,1,1,3,3,1,1,5,3,1,5.0,8.0,6.0,4,0,0,2,1
0,-3,0,4,0,0,1,1,3,3,1,1,6,6,1,5.0,22.0,42.0,4,1,1,0,1
0,1,1,5,7,1,1,1,6,1,1,1,5,6,1,10.0,1.0,2.0,2,0,0,3,1
0,-1,1,4,3,1,0,1,6,5,0,1,4,3,1,3.0,0.0,1.0,4,0,0,0,1
1,1,0,4,1,1,0,1,6,6,0,1,6,6,1,6.0,0.0,24.0,4,1,1,3,1
0,-1,0,4,4,1,0,1,5,5,0,1,4,4,1,6.0,49.0,49.0,5,0,0,4,1
0,1,1,4,9,1,1,1,6,6,0,1,3,5,0,7.0,36.0,20.0,2,1,1,3,1
1,5,1,4,5,1,1,0,6,3,1,0,6,4,0,10.0,5.0,4.0,3,0,0,0,1
0,2,1,4,4,1,1,1,4,3,1,1,4,3,1,6.0,7.0,10.0,3,0,0,0,1
0,3,0,2,2,1,0,1,4,6,0,1,4,4,1,10.0,70.0,80.0,5,0,0,3,1
0,2,0,4,7,1,0,1,6,3,0,1,2,6,1,3.0,0.0,30.0,5,0,0,3,1
